,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Darab,IR,28.7519,54.5444,73.62,20,47,1.66,scattered clouds
80,Hithadhoo,MV,-0.6,73.0833,81.88,75,100,10.36,overcast clouds
81,Albany,US,42.6001,-73.9662,40.06,76,98,3.36,overcast clouds
82,Cockburn Town,TC,21.4612,-71.1419,83.1,76,9,17.54,clear sky
83,Sydney,AU,-33.8679,151.2073,74.48,82,75,19.57,light rain
84,Grand Gaube,MU,-20.0064,57.6608,74.37,72,33,5.01,scattered clouds
85,Port Elizabeth,ZA,-33.918,25.5701,61.47,81,14,1.36,few clouds
86,Nador,MA,35.174,-2.9287,66.45,100,74,4.61,broken clouds
87,Qaqortoq,GL,60.7167,-46.0333,34.39,66,100,12.33,overcast clouds
88,Esperance,AU,-33.8667,121.9,57.85,87,99,4.54,overcast clouds
89,Ayan,RU,56.45,138.1667,33.53,45,31,21.07,scattered clouds
90,Lagoa,PT,39.05,-27.9833,64.69,63,60,14.0,broken clouds
91,Ewa Beach,US,21.3156,-158.0072,78.85,72,75,10.36,broken clouds
92,Cidreira,BR,-30.1811,-50.2056,66.11,99,100,5.73,overcast clouds
93,Bluff,NZ,-46.6,168.3333,49.89,54,80,11.34,broken clouds
94,Chiang Klang,TH,19.2938,100.8617,86.77,50,7,1.39,clear sky
95,Dunedin,NZ,-45.8742,170.5036,48.79,69,80,8.01,broken clouds
96,Vaini,TO,-21.2,-175.2,74.26,80,71,22.03,light rain
97,Chake Chake,TZ,-5.2459,39.7666,74.86,77,82,5.88,broken clouds
98,Jasmine Estates,US,28.2931,-82.6901,65.95,68,25,9.1,scattered clouds
99,Lichinga,MZ,-13.3128,35.2406,61.45,57,68,6.44,broken clouds
100,Inta,RU,66.0317,60.1659,30.45,98,100,15.28,snow
101,Muroto,JP,33.2833,134.15,70.54,55,59,5.5,broken clouds
102,Alta Floresta,BR,-9.8756,-56.0861,72.5,93,72,2.53,broken clouds
103,Arlit,NE,18.7369,7.3853,73.83,24,0,6.04,clear sky
104,Najran,SA,17.4924,44.1277,67.96,20,0,1.54,clear sky
105,Gewane,ET,10.1664,40.6453,79.14,44,9,3.89,clear sky
106,Kagoro,NG,9.6,8.3833,66.67,53,89,2.89,overcast clouds
107,Tilichiki,RU,60.4667,166.1,23.74,77,34,3.18,scattered clouds
108,Portree,GB,57.4129,-6.1942,49.51,88,100,4.52,overcast clouds
109,Jaunpur,IN,25.7333,82.6833,80.62,55,0,3.15,clear sky
110,Paragominas,BR,-2.9667,-47.4833,73.0,92,4,3.15,clear sky
111,Ust-Kuyga,RU,70.0167,135.6,2.68,96,89,5.12,overcast clouds
112,Longyearbyen,SJ,78.2186,15.6401,17.44,73,0,9.22,clear sky
113,Brekstad,NO,63.687,9.6654,40.01,93,20,10.36,few clouds
114,Tahta,EG,26.7693,31.5021,68.32,59,0,7.99,clear sky
115,Ponta Do Sol,PT,32.6667,-17.1,72.72,87,100,3.36,light rain
