City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Bredasdorp,ZA,2022-10-21 00:07:42,-34.5322,20.0403,55.06,86,91,5.03
67,Rawson,AR,2022-10-21 00:07:28,-43.3002,-65.1023,48.49,63,55,20.02
68,Punta Arenas,CL,2022-10-21 00:07:42,-53.15,-70.9167,42.91,61,0,36.82
69,Pochutla,MX,2022-10-21 00:07:42,15.7432,-96.4661,80.82,86,80,2.8
70,Cabadiangan,PH,2022-10-21 00:07:43,9.7531,122.4739,82.72,78,98,1.39
71,Buraydah,SA,2022-10-21 00:07:43,26.326,43.975,73.2,15,0,7.05
72,Busselton,AU,2022-10-21 00:07:43,-33.65,115.3333,59.36,71,65,6.51
73,Mugur-Aksy,RU,2022-10-21 00:07:44,50.35,90.5,24.64,79,100,6.38
74,Hofn,IS,2022-10-21 00:07:44,64.2539,-15.2082,42.28,75,100,14.07
75,Ulladulla,AU,2022-10-21 00:07:44,-35.35,150.4667,70.7,97,100,6.38
76,Vaini,TO,2022-10-21 00:07:45,-21.2,-175.2,74.05,81,91,15.95
77,Tuktoyaktuk,CA,2022-10-21 00:07:45,69.4541,-133.0374,24.87,90,100,10.42
78,Lodwar,KE,2022-10-21 00:07:45,3.1191,35.5973,83.82,43,92,21.83
79,Hithadhoo,MV,2022-10-21 00:07:46,-0.6,73.0833,81.21,77,100,10.45
80,Sao Pedro Do Sul,BR,2022-10-21 00:07:46,-29.6206,-54.1789,65.75,96,100,7.0
81,Antofagasta,CL,2022-10-21 00:05:25,-23.65,-70.4,60.08,81,39,5.73
82,Butaritari,KI,2022-10-21 00:07:47,3.0707,172.7902,81.05,74,22,9.86
83,Tocopilla,CL,2022-10-21 00:07:47,-22.092,-70.1979,62.98,68,25,8.28
84,Chuy,UY,2022-10-21 00:08:47,-33.6971,-53.4616,59.74,92,100,5.77
85,Oussouye,SN,2022-10-21 00:08:48,12.485,-16.5469,77.68,79,35,0.76
86,Hamilton,US,2022-10-21 00:05:47,39.1834,-84.5333,51.78,41,0,6.91
87,Quatre Cocos,MU,2022-10-21 00:08:48,-20.2078,57.7625,71.1,81,18,10.13
88,Yulara,AU,2022-10-21 00:08:49,-25.2406,130.9889,78.8,26,0,5.17
89,Cayenne,GF,2022-10-21 00:08:49,4.9333,-52.3333,78.84,89,20,0.0
90,Upernavik,GL,2022-10-21 00:08:49,72.7868,-56.1549,17.53,70,98,6.4
91,Balikpapan,ID,2022-10-21 00:08:50,-1.2675,116.8289,81.59,94,20,4.61
92,Westport,US,2022-10-21 00:08:35,41.1415,-73.3579,58.82,61,0,20.71
93,Labrea,BR,2022-10-21 00:08:50,-7.2586,-64.7981,74.19,96,89,2.04
94,Saryozek,KZ,2022-10-21 00:08:50,44.3583,77.9753,41.18,59,22,5.48
95,Tuatapere,NZ,2022-10-21 00:08:51,-46.1333,167.6833,49.59,51,98,6.49
96,Ilulissat,GL,2022-10-21 00:08:51,69.2167,-51.1,26.62,63,100,6.91
97,Ancud,CL,2022-10-21 00:08:52,-41.8697,-73.8203,43.23,84,38,8.57
98,Pinsk,BY,2022-10-21 00:08:52,52.1229,26.0951,41.83,71,77,4.92
99,Souillac,MU,2022-10-21 00:08:52,-20.5167,57.5167,69.12,85,13,9.37
100,Margate,GB,2022-10-21 00:08:53,51.3813,1.3862,58.89,94,31,1.01
101,Pisco,PE,2022-10-21 00:08:53,-13.7,-76.2167,62.02,82,0,13.8
102,Cacapava,BR,2022-10-21 00:08:53,-23.1008,-45.7069,67.21,89,57,3.8
103,Namatanai,PG,2022-10-21 00:08:54,-3.6667,152.4333,85.87,64,39,1.14
104,New Norfolk,AU,2022-10-21 00:08:54,-42.7826,147.0587,65.71,44,37,4.45
105,Kedrovyy,RU,2022-10-21 00:08:54,56.1667,91.8167,36.01,97,100,9.62
